Year,Adult Mortality,infant deaths,Alcohol,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Diphtheria , HIV/AIDS,Population,Life expectancy 
2010,134,7,3.95,9,0,5.7,8,88,91,0.1,1493469,75
2009,137,7,3.87,91,0,5,8,91,94,0.1,14691275,75.1
2008,139,7,3.76,93,1,49.3,9,94,96,0.1,14447562,74.6
2007,14,7,3.63,94,0,48.6,9,95,96,0.2,1425453,74.7
2006,144,8,3.52,96,0,47.9,9,92,96,0.3,1396748,74.4
2005,151,8,3.54,92,0,47.2,9,89,92,0.3,13735233,74.2
2004,148,8,3.65,88,0,46.5,9,9,88,0.3,1359647,74.4
2003,151,8,3.69,82,0,45.8,10,97,87,0.3,1328961,74.4
2002,157,8,3.88,75,0,45.1,10,88,88,0.3,13726,73.6
2001,158,9,4.13,69,2,44.3,10,9,89,0.3,12852755,73.4
2000,163,9,3.99,36,0,43.6,11,83,87,0.3,12628596,72.8
2015,159,51,,93,5432,61.1,60,93,93,0.1,,79
2014,161,53,0.21,94,1314,6.2,62,94,94,0.1,,78
2013,159,54,0.21,97,405,59.4,63,97,97,0.1,,79
2012,165,54,0.23,93,245,58.6,64,93,93,0.1,,72
2011,168,55,0.22,96,26,57.8,64,96,96,0.1,,74
2010,173,54,0.22,97,16,57,64,97,97,0.1,,70
2009,174,54,0.21,97,608,56.2,64,97,97,0.1,,69.9
2008,172,54,0.24,97,668,55.5,65,97,97,0.1,,69.8
2007,171,55,0.21,98,1684,54.8,65,98,98,0.1,,69.7
2006,175,55,0.18,98,953,54.2,66,98,98,0.1,,69.5
2005,174,56,0.16,98,77,53.5,68,98,98,0.1,,69.4
2004,176,57,0.16,97,80,52.9,70,97,97,0.1,,69
2003,178,59,0.15,98,164,52.3,72,98,98,0.1,,68.6
2002,177,61,0.15,97,653,51.8,75,97,97,0.1,,68.7
2001,177,63,0.14,99,2150,51.2,78,99,99,0.1,,68.6
2000,171,65,0.14,98,2633,5.7,82,98,98,0.1,,68.8
2015,178,2,,91,0,56.1,2,92,91,0.2,6312478,73.5
2014,181,2,2.52,93,0,55.4,2,93,94,0.2,6281189,73.3
2013,184,2,2.42,92,0,54.7,2,92,92,0.2,625777,73
2012,181,2,2.48,92,0,54.1,2,93,92,0.3,6221246,73
2011,197,2,2.37,89,0,53.4,2,9,89,0.3,619256,72
2010,191,2,2.36,89,0,52.8,2,89,89,0.3,6164626,72
2009,23,2,2.55,91,0,52.1,2,91,91,0.3,6137276,71.4
2008,194,2,2.68,98,0,51.4,3,98,98,0.3,61131,71.7
2007,23,2,2.83,99,0,5.8,3,99,99,0.3,683475,71.2
2006,211,3,2.77,96,0,5.1,3,96,96,0.2,656478,75
2005,213,3,2.77,89,0,49.4,3,89,89,0.2,628961,71
2004,215,3,2.9,9,0,48.6,3,9,9,0.3,6775,70
2003,29,3,3.1,94,0,47.8,4,93,94,0.3,5971535,69.9
2002,24,3,2.97,81,0,47,4,81,81,0.4,59433,73
2001,219,4,2.88,75,2,46.2,4,94,92,0.4,595962,68.9
2000,218,4,2.79,99,0,45.3,5,98,99,0.4,5867626,69
2015,32,3,,16,1250,24.5,4,17,16,4.2,1175389,58.2
2014,32,3,0.01,2,13,24,4,24,2,4.4,1129424,57.9
2013,327,3,10.72,,321,23.5,4,3,3,5.7,183746,57.4
2012,337,3,11.89,,1190,23,4,3,24,8.2,138593,56.7
2011,344,3,10.99,,0,22.6,4,39,41,7.7,99429,56.2
2010,339,3,9.93,,0,22.1,4,59,44,7.2,95114,56.1
2009,34,3,7.97,,78,21.7,4,57,43,7.3,99111,55.7
2008,338,3,8.34,,436,21.3,4,55,42,6.3,868418,55.4
2007,339,3,6.86,,5,2.9,4,54,41,5.9,829327,55
2006,337,3,7.28,,0,2.5,4,52,4,5.3,792217,54.8
2005,337,3,7.19,,0,2.2,4,5,39,4.9,757317,54.4
2004,336,3,6.28,,38,19.8,4,48,38,4.4,724817,54.1
2003,334,3,7.13,,18,19.5,4,46,37,3.6,694611,53.8
2002,334,3,6.01,,24,19.1,4,44,36,2.9,66647,53.5
2001,334,3,5.07,,1339,18.7,4,43,35,2.3,639762,53.1
2000,336,3,4.46,,0,18.3,4,41,34,1.9,614323,52.7
2015,255,5,,95,198,18.6,7,95,95,0.4,,64.7
2014,261,5,0.01,94,127,18,8,94,94,0.4,,64.4
2013,266,6,0.01,94,45,17.5,8,94,94,0.5,,64
2012,274,6,0.01,94,194,17,8,94,94,0.6,,63.6
2011,286,6,0.62,96,48,16.5,8,96,96,0.7,447469,62.9
2010,298,6,0.61,9,51,16,9,9,9,0.9,43984,62.1
2009,311,6,0.63,92,82,15.5,9,92,92,1,431334,61.4
2008,322,6,0.49,94,0,15.1,9,94,94,1.1,4232636,67
2007,329,6,1.23,91,55,14.7,9,91,91,1.3,4153332,62
2006,336,7,0.97,94,128,14.3,9,94,94,1.4,466648,59.7
2005,34,7,1.07,96,19,13.9,9,96,96,1.6,39697,59.4
2004,342,7,0.64,84,24,13.6,10,98,98,1.8,3858623,59.1
2003,343,7,0.56,91,376,13.3,10,95,93,1.9,3738265,58.8
2002,343,7,0.83,86,460,13.1,10,92,9,1.9,3614639,58.5
2001,345,7,0.61,,204,12.8,10,89,86,2,3497124,58.1
2000,593,7,0.83,,789,12.6,10,82,81,1.9,339281,45.3
2015,119,0,,91,4,59.9,0,93,93,0.1,131547,77.6
2014,122,0,0.01,93,0,59.4,0,93,93,0.1,1314545,77.3
2013,127,0,0.01,93,2,59,0,94,94,0.1,1317997,76.9
2012,135,0,0.01,94,4,58.5,0,94,94,0.1,1322696,76.3
2011,138,0,0.01,94,7,58,0,93,93,0.1,1327439,76.1
2010,137,0,14.97,94,0,57.6,0,94,94,0.1,1331475,75.6
2009,156,0,15.04,95,0,57.1,0,95,95,0.1,1334515,74.9
2008,167,0,16.99,94,0,56.7,0,95,95,0.1,13379,74.2
2007,189,0,17.87,95,1,56.3,0,95,95,0.1,13468,73
2006,188,0,16.58,95,27,55.9,0,95,95,0.1,134681,73
2005,189,0,15.52,95,2,55.5,0,96,96,0.1,1354775,72.8
2004,195,0,15.07,9,0,55.2,0,95,94,0.1,136255,72.3
2003,199,0,11.64,,0,54.9,0,95,94,0.1,13772,71.9
2002,211,0,11.48,,0,54.6,0,94,94,0.1,137935,71.2
2001,225,0,0.01,,0,54.3,0,94,94,0.1,1388115,78
2000,218,0,0.01,,9,54,0,93,93,0.1,1396985,78
2015,225,136,,77,17745,17.6,194,75,77,0.6,9987333,64.8
2014,234,140,0.01,77,12739,17.2,202,75,77,0.6,97366774,64.2
2013,237,145,1.86,72,5253,16.8,211,7,72,0.9,94887724,63.7
2012,241,150,1.84,69,4347,16.4,221,7,69,1.2,92444183,63.3
2011,249,156,1.32,65,3255,16,231,7,65,1.4,946756,62.6
2010,261,162,1.34,62,4235,15.6,243,69,61,1.7,877267,61.8
2009,274,169,1.17,56,1176,15.3,256,65,58,2,85416253,68
2008,289,177,1.13,52,3511,14.9,270,63,54,2.4,83184892,59.8
2007,39,186,1.06,47,1446,14.5,286,61,5,2.8,8149,58.5
2006,328,196,1.22,,1451,14.2,304,59,46,3.3,7885689,57.2
2005,343,206,0.99,,357,13.8,323,56,44,3.7,7672783,56
2004,354,217,0.86,,73,13.5,342,54,4,4.1,7462445,55
2003,363,228,0.79,,228,13.2,360,55,37,4.4,72545144,54
2002,369,237,0.8,,3332,12.9,377,55,35,4.6,7497192,53.2
2001,372,246,0.85,,2366,12.6,392,55,32,4.9,68492257,52.5
2000,391,253,0.88,,1660,12.3,404,55,3,5,66537331,51.2
2015,188,0,,99,0,62.7,0,99,99,0.1,892149,69.9
2014,19,0,0.01,99,0,61.9,0,99,99,0.1,88586,69.7
2013,192,0,0.01,99,0,61.1,0,99,99,0.1,879715,69.6
2012,195,0,0.01,99,0,6.2,0,99,99,0.1,873596,69.4
2011,197,0,0.01,99,0,59.5,0,99,99,0.1,86786,69.2
2010,2,0,2.25,99,0,58.7,0,99,99,0.1,85995,69.1
2009,23,0,2.31,99,1,58,0,99,99,0.1,851967,68.9
2008,26,0,1.95,99,0,57.3,0,99,99,0.1,84334,68.7
2007,29,0,2.09,99,0,56.6,0,99,99,0.1,834812,68.6
2006,211,0,2.06,99,136,55.9,0,98,98,0.1,827411,68.5
2005,214,0,2.02,99,0,55.1,0,97,96,0.1,821817,68.3
2004,218,0,1.63,99,37,54.2,0,96,95,0.1,818354,68.1
2003,22,0,1.76,99,305,53.2,0,95,94,0.1,816628,68
2002,22,0,1.85,99,304,52.2,0,94,93,0.1,815691,67.9
2001,221,0,1.93,98,17,51.2,0,92,91,0.1,814218,67.8
2000,221,0,2.05,98,0,5.2,0,91,9,0.1,811223,67.7
2015,76,0,,,2,62.1,0,97,97,0.1,5479531,81.1
2014,78,0,8.8,,0,61.7,0,98,98,0.1,5461512,89
2013,79,0,8.97,,2,61.4,0,98,98,0.1,5438972,87
2012,82,0,9.24,,0,61,0,99,99,0.1,5413971,84
2011,86,0,9.81,,27,6.6,0,99,99,0.1,5388272,83
2010,89,0,9.72,,5,6.2,0,99,99,0.1,5363352,79.9
2009,91,0,9.96,,2,59.8,0,99,99,0.1,5338871,79.7
2008,94,0,10.26,,5,59.4,0,97,99,0.1,5313399,79.6
2007,96,0,10.45,,0,59,0,97,99,0.1,528872,79.3
2006,96,0,10.15,,0,58.6,0,97,97,0.1,5266268,79.2
2005,11,0,9.95,,1,58.1,0,97,97,0.1,524696,78.9
2004,12,0,9.89,,0,57.6,0,96,98,0.1,5228172,78.7
2003,98,0,9.31,,0,57.1,0,96,98,0.1,521314,78.4
2002,98,0,9.25,,0,56.6,0,95,98,0.1,52598,78.1
2001,1,0,8.94,,1,56.1,0,95,98,0.1,51888,78
2000,15,0,8.59,,0,55.5,0,96,99,0.1,517629,77.5
2015,78,2,,86,157,62.5,3,98,98,0.1,6662468,82.4
2014,79,3,11.5,83,267,62,3,98,98,0.1,66331957,82.2
2013,81,3,11.1,74,272,61.6,3,99,99,0.1,6599857,82
2012,83,3,11.5,78,0,61.1,3,99,99,0.1,6565979,81.5
2011,83,3,11.8,74,14949,6.6,3,99,99,0.1,65342776,81.7
2010,86,3,11.7,65,5048,6.1,3,99,99,0.1,6527512,81.3
2009,88,3,11.8,51,1541,59.6,3,98,98,0.1,647744,81.1
2008,88,3,11.9,47,604,59.1,3,98,98,0.1,6437499,89
2007,89,3,12.2,42,39,58.6,3,99,98,0.1,6416229,89
2006,92,3,12.4,39,40,58,4,99,99,0.1,63621376,86
2005,93,3,12.2,35,36,57.5,4,98,98,0.1,63179356,81
2004,94,3,13.18,35,4448,57,4,99,98,0.1,6274897,82
2003,99,3,13.49,28,0,56.4,4,96,97,0.1,62244884,79.3
2002,11,3,13.78,29,5185,55.8,4,97,97,0.1,6185267,79.2
2001,13,3,13.89,28,0,55.2,4,98,97,0.1,61357431,79
2000,13,3,13.63,26,10000,54.6,4,98,97,0.1,6912498,78.8
2015,229,2,,8,27,36.3,3,79,8,2.7,193175,66
2014,237,2,0.01,7,33,35.8,3,68,7,2.8,1875713,65.5
2013,255,2,8.86,79,122,35.2,3,77,79,3.7,1817271,64.6
2012,276,2,8.3,82,2,34.6,3,8,82,4.9,1756817,63.5
2011,289,2,8.9,75,2,34.1,3,75,75,6,169711,62.8
2010,294,2,8.85,67,1,33.5,3,68,67,7,16421,62.3
2009,31,2,8.64,79,0,33,3,74,76,8,1586754,61.7
2008,298,2,8.75,82,3,32.4,3,81,82,8.9,1536411,61.6
2007,291,2,9.02,75,0,31.9,3,78,81,10,1489193,61.6
2006,288,2,8.01,52,90,31.4,3,44,45,10.7,1444844,61.4
2005,37,2,7.72,28,0,3.8,3,44,45,10.9,143126,65
2004,322,2,8.13,,63,3.3,3,44,45,11.1,136425,59.7
2003,32,2,6.47,,0,29.8,3,44,45,11,1328146,59.7
2002,315,2,8.34,,110,29.2,3,44,45,10.7,129449,59.7
2001,37,2,9.29,,5129,28.7,3,44,45,10.1,1262259,59.8
2000,296,2,8.87,,15,28.1,3,44,45,9.5,1231122,61
2015,262,3,,97,71,27.3,5,96,97,1.7,,61.1
2014,266,3,0.01,96,1,26.7,5,97,96,1.7,,68
2013,266,3,0.01,97,0,26,5,96,97,1.6,,66
2012,269,3,0.01,98,0,25.4,5,98,98,1.4,,62
2011,277,3,3.41,96,0,24.8,5,95,96,1.8,,59.8
2010,284,3,3.48,97,2,24.1,6,97,97,2.1,,59.3
2009,286,3,2.99,97,0,23.5,6,97,98,2.7,,59
2008,287,3,2.79,98,0,22.8,6,96,96,3,,58.7
2007,288,3,2.64,97,0,22.2,6,94,95,3.1,,58.5
2006,288,3,2.93,95,0,21.5,6,94,95,3,,58.2
2005,294,3,2.26,95,0,2.9,6,94,95,3,,57.7
2004,296,3,2.51,95,0,2.3,6,88,87,2.9,,57.3
2003,297,3,2.47,94,119,19.7,6,87,87,2.7,,57
2002,298,3,2.08,92,32,19.1,6,86,87,2.5,,56.6
2001,3,3,2.25,91,99,18.5,6,85,87,2.3,,56.3
2000,33,3,2.18,91,336,18,6,84,8,2,,55.9
2015,129,1,,94,431,56.2,1,91,94,0.1,37171,74.4
2014,125,1,6.13,91,3188,55.3,1,91,91,0.1,3727,74.5
2013,128,1,5.91,96,7872,54.4,1,94,93,0.1,3776,74.5
2012,13,1,7.71,92,31,53.6,1,93,92,0.1,3825,74.2
2011,127,1,8.14,89,64,52.8,1,88,94,0.1,3875,73.9
2010,132,1,7.24,95,22,52,1,88,92,0.1,3926,73.8
2009,133,1,6.66,54,23,51.3,1,93,88,0.1,3978,73.2
2008,128,1,7.17,89,56,5.5,1,9,92,0.1,43,73.9
2007,12,1,8.65,94,44,49.9,1,88,98,0.1,482,74.4
2006,126,1,6.18,84,334,49.2,1,89,88,0.1,4136,73.9
2005,128,1,4.7,79,1356,48.6,1,82,82,0.1,419,73.9
2004,134,1,3.74,64,6847,48.1,1,66,78,0.1,4245,72.3
2003,132,1,3.36,48,216,47.5,2,74,75,0.1,431,72.7
2002,142,2,2.72,51,199,47,2,89,84,0.1,4357,71.7
2001,121,2,2.76,61,35,46.5,2,83,87,0.1,43864,73
2000,129,2,3.28,55,50,46,2,81,8,0.1,44183,71.8
2015,68,2,,88,2464,62.3,3,94,95,0.1,81686611,81
2014,69,2,11.03,88,443,61.9,3,94,95,0.1,89825,89
2013,71,2,10.94,88,1771,61.4,3,94,95,0.1,864565,86
2012,71,2,11.18,88,166,6.9,3,94,95,0.1,8425823,86
2011,74,2,11.2,88,1607,6.4,3,94,95,0.1,8274983,85
2010,76,2,11.2,88,780,59.9,3,94,95,0.1,8177693,81
2009,79,2,11.22,88,574,59.5,3,95,96,0.1,819237,80
2008,8,2,11.36,87,917,59,3,95,96,0.1,821197,79.9
2007,82,3,11.5,86,567,58.5,3,95,96,0.1,82266372,79.8
2006,84,3,11.76,87,2307,58,3,94,96,0.1,82376451,79.6
2005,85,3,11.67,9,778,57.6,3,95,96,0.1,82469422,79.2
2004,86,3,11.83,88,121,57.1,3,96,96,0.1,8251626,79.1
2003,9,3,11.92,9,779,56.6,4,96,97,0.1,82534176,78.5
2002,91,3,12.25,87,4657,56.1,4,97,93,0.1,82488495,78.4
2001,92,3,12.46,86,6024,55.6,4,96,93,0.1,82349925,78.3
2000,95,3,12.91,84,0,55.1,4,94,9,0.1,8221158,78
2015,249,37,,88,23,28.6,52,88,88,0.7,27582821,62.4
2014,253,37,0.01,98,124,28,54,93,98,0.8,26962563,62.1
2013,254,38,0.01,9,319,27.3,55,91,9,0.9,26346251,61.9
2012,257,39,0.01,92,1613,26.7,56,91,92,0.9,2573349,61.6
2011,263,40,1.64,91,120,26.1,58,91,91,1.3,25121796,61.2
2010,267,40,1.69,94,641,25.5,59,94,94,1.9,2451214,69
2009,271,41,1.76,94,101,24.9,60,94,94,2.1,2393831,66
2008,275,41,1.78,93,82,24.2,61,92,93,2.2,2329864,63
2007,28,41,1.25,94,6,23.6,61,94,94,2.6,227212,59.9
2006,288,41,1.7,84,420,23,62,84,84,2.9,22113425,59.4
2005,296,41,1.5,84,435,22.4,62,85,84,3.1,215429,58.9
2004,34,41,1.46,8,60,21.8,62,81,8,3.2,2986536,58.3
2003,38,41,1.53,8,1939,21.2,63,8,8,3.4,2446782,57.9
2002,31,42,1.6,8,12289,2.7,63,8,78,3.5,19924522,57.6
2001,39,42,1.49,,13476,2.1,64,81,79,3.5,1942165,57.4
2000,38,43,1.6,,23068,19.5,65,88,88,3.6,18938762,57.2
2015,72,0,,96,1,66.5,0,99,99,0.1,182883,81
2014,73,0,7.53,96,1,66,0,99,99,0.1,1892413,88
2013,74,0,7.46,98,3,65.4,0,99,99,0.1,1965211,86
2012,76,0,8.2,98,3,64.9,0,99,99,0.1,114511,84
2011,76,0,8.02,95,40,64.3,0,99,99,0.1,1114899,85
2010,76,0,9,95,149,63.7,0,99,99,0.1,11121341,83
2009,78,0,9.08,95,2,63.1,0,99,99,0.1,111717,80
2008,77,0,9.51,95,1,62.4,0,99,99,0.1,1177841,79.9
2007,8,0,9.67,95,2,61.8,0,99,99,0.1,1148473,79.4
2006,77,0,9.42,94,0,61.2,1,98,98,0.1,112362,79.7
2005,81,0,9.95,93,122,6.5,1,96,96,0.1,1987314,79.3
2004,81,0,9.56,92,1,59.9,1,95,95,0.1,1955141,79.2
2003,81,0,9.46,92,0,59.2,1,93,94,0.1,19287,79.1
2002,81,1,8.09,91,5,58.6,1,92,92,0.1,19222,79
2001,83,1,8.62,9,12,58,1,9,91,0.1,1862132,78.7
2000,84,1,8.48,89,56,57.4,1,89,89,0.1,18588,78.2
2015,142,0,,92,0,48.4,0,99,92,0.1,,73.6
2014,143,0,8.42,97,0,47.4,0,81,97,0.1,,73.5
2013,144,0,8.25,97,0,46.5,0,98,97,0.1,,73.3
2012,146,0,8.07,97,0,45.6,0,98,97,0.1,,73.1
2011,15,0,7.84,94,0,44.7,0,95,95,0.1,,72.9
2010,154,0,7.91,97,0,43.9,0,94,97,0.1,,72.6
2009,158,0,8.42,99,0,43.1,0,99,99,0.1,,72.4
2008,162,0,8.92,99,0,42.4,0,99,99,0.1,,72.1
2007,164,0,9.06,96,0,41.8,0,96,96,0.1,,71.9
2006,167,0,9.06,91,0,41.1,0,91,91,0.1,,71.7
2005,169,0,8.8,99,0,4.5,0,99,99,0.1,,71.5
2004,187,0,8.43,83,0,39.9,0,84,83,0.1,,73
2003,173,0,9.75,97,0,39.4,0,98,97,0.1,,71.1
2002,176,0,10.71,98,0,38.8,0,98,98,0.1,,79
2001,178,0,9.61,96,0,38.2,0,96,96,0.1,,77
2000,182,0,9.4,,0,37.7,0,97,97,0.1,,74
2015,186,10,,74,0,5.6,12,9,74,0.4,16252429,71.9
2014,187,10,1.88,73,0,49.9,13,65,73,0.4,15923559,71.7
2013,189,11,1.93,85,0,49.3,13,84,85,0.4,15596214,71.4
2012,189,11,2.02,96,0,48.6,13,94,96,0.4,1527156,71.3
2011,193,11,2.16,88,0,47.9,14,88,88,0.4,14948919,71.1
2010,196,12,2.14,94,0,47.2,14,94,94,0.4,1463417,77
2009,198,12,2.14,92,0,46.5,15,92,92,0.4,1431628,76
2008,19,13,2.21,95,0,45.9,15,96,95,0.4,146366,79
2007,192,13,2.4,85,0,45.2,16,85,85,0.4,137286,75
2006,24,14,2.38,89,0,44.5,17,9,89,0.4,133978,69.7
2005,28,14,2.35,87,0,43.8,18,87,87,0.4,139628,69.2
2004,21,15,2.4,,0,43.1,18,88,87,0.4,12796925,69.6
2003,24,15,2.45,,0,42.4,19,84,84,0.4,125478,69.4
2002,21,16,2.41,,0,41.7,20,82,82,0.3,1228848,69.3
2001,211,16,2.53,,0,41.1,20,78,77,0.3,11924946,68.4
2000,221,17,2.63,,0,4.4,21,8,81,0.2,1165743,67.7
2015,284,26,,54,243,23.3,40,42,54,0.5,1291533,59
2014,299,27,0.01,51,175,22.7,41,42,51,0.5,118559,58.1
2013,284,27,0.01,63,53,22.2,41,63,63,1,11536615,58.8
2012,288,28,0.01,62,6,21.7,42,63,62,1.9,11281469,58.4
2011,29,28,0.22,63,11,21.2,43,63,63,2,113517,58.1
2010,291,29,0.2,64,45,2.8,44,62,64,2.2,179417,57.8
2009,297,29,0.18,57,264,2.3,46,6,57,2.3,1556524,57.3
2008,33,30,0.21,57,89,19.8,47,59,6,2.3,1323142,56.8
2007,36,31,0.19,57,3,19.4,48,46,63,2.4,196727,56.4
2006,317,31,0.16,,4,19,49,53,57,2.6,9881428,55.6
2005,327,32,0.21,,99,18.5,51,59,59,2.7,9679745,54.7
2004,334,33,0.34,,10,18.1,53,65,6,2.8,949229,54
2003,338,34,0.18,,2497,17.7,55,61,57,2.9,939848,53.3
2002,337,35,0.21,,2151,17.3,56,56,53,3,9137345,52.9
2001,336,36,0.17,,7408,16.9,58,52,5,3,8971139,52.5
2000,328,37,0.17,,11294,16.6,60,47,46,3,888546,52.5
2015,275,4,,87,153,26.3,6,87,87,3.2,177526,58.9
2014,282,4,0.01,87,1,25.6,6,87,87,3.4,1725744,58.4
2013,279,4,0.01,87,0,25,6,87,87,4.5,1681495,58.1
2012,285,4,0.01,87,0,24.3,6,87,87,5.3,1638139,57.6
2011,289,4,3.57,86,0,23.7,7,85,86,5.7,1596154,57.1
2010,287,4,3.21,83,26,23.1,7,82,83,5.9,155588,56.7
2009,288,4,2.55,8,0,22.5,7,78,8,6,1517448,56.3
2008,297,5,2.64,,12,21.9,7,77,77,6,148841,55.6
2007,32,5,2.98,,1,21.3,7,76,74,5.7,1445958,55
2006,36,5,3.22,,0,2.7,8,74,71,5.6,1412669,54.4
2005,37,5,3.1,,0,2.1,8,73,68,5.4,138838,53.9
2004,38,5,2.58,,3526,19.6,8,69,64,5,135345,53.5
2003,38,5,2.16,,1158,19,8,65,6,4.6,132122,53
2002,35,5,2.47,,298,18.5,8,61,57,4.1,1293523,52.8
2001,32,5,2.55,,126,17.9,9,56,53,3.6,1267512,52.5
2000,3,5,2.84,,0,17.4,9,52,49,3.1,1243229,52.1
2015,215,0,,95,0,46.7,1,92,95,0.3,768514,66.2
2014,217,0,7.64,98,0,45.9,1,97,98,0.3,763393,66
2013,218,0,7.56,98,0,45,1,98,98,0.3,75881,65.9
2012,22,0,7.57,97,0,44.1,1,97,97,0.3,75391,65.8
2011,229,0,7.56,93,0,43.2,1,93,93,0.4,7491,65.6
2010,221,0,7.52,95,0,42.4,1,95,95,0.4,746556,65.9
2009,218,0,7.49,98,0,41.6,1,97,98,0.3,745693,66.1
2008,218,1,7.32,93,0,4.9,1,93,93,0.8,746314,66.3
2007,232,1,7.2,94,0,4.3,1,94,94,1.9,747869,65.7
2006,24,1,7.04,93,0,39.6,1,92,93,1.1,74961,65.2
2005,238,1,7.35,93,0,39,1,93,93,1.8,75946,65
2004,237,1,7.84,91,0,38.4,1,91,91,1.9,751652,65.1
2003,237,1,7.93,9,0,37.8,1,91,9,2.1,751857,65.3
2002,244,1,7.73,91,0,37.1,1,93,91,2.3,751884,65.3
2001,247,1,6.71,85,0,36.4,1,9,85,1.7,752263,65.4
2000,246,1,6.63,,0,35.7,1,79,88,1.1,75331,65.4
2015,24,14,,6,0,49.9,18,56,6,0.5,171161,63.5
2014,245,14,0.01,48,0,48.8,19,55,48,0.5,1572466,63.1
2013,253,14,5.68,68,0,47.7,19,67,68,0.5,1431776,62.7
2012,259,15,5.68,,0,46.5,20,67,67,0.8,128921,62.3
2011,259,15,5.68,,0,45.3,20,67,68,1.5,114554,62.3
2010,682,23,5.76,,0,44.2,58,66,66,1.9,9999617,36.3
2009,251,16,5.85,,0,43,21,65,65,2,985287,62.5
2008,259,16,5.95,,0,41.8,22,64,63,2.4,97529,62.1
2007,266,17,6.08,,0,4.7,23,62,63,2.7,9556889,61.8
2006,28,17,6.18,,0,39.6,23,61,6,3.3,949457,61.1
2005,29,17,5.57,,0,38.5,24,6,6,3.9,926344,65
2004,32,18,6.1,,0,37.5,24,58,55,4.3,9119178,58.7
2003,3,18,6.64,,0,36.5,25,56,53,4.6,8976552,59.7
2002,33,19,6.1,,0,35.6,26,54,48,4.8,8834733,59.3
2001,35,19,6.22,,159,34.8,27,52,45,5,8692567,58.9
2000,35,20,4.79,,992,34,28,5,41,5.1,85492,58.6
2015,147,3,,97,0,51,4,97,97,0.3,896829,74.6
2014,149,3,2.87,97,0,5.2,4,97,97,0.3,889216,74.5
2013,15,4,3.11,97,0,49.3,4,97,97,0.4,8657785,74.3
2012,151,4,3.11,97,0,48.4,4,97,97,0.4,855646,74.1
2011,153,4,3.1,97,0,47.6,5,97,97,0.4,83516,73.9
2010,156,4,3.1,97,0,46.8,5,97,97,0.4,8194778,73.6
2009,157,4,3.08,97,0,45.9,5,97,97,0.5,83521,73.4
2008,159,4,3.14,92,0,45.1,5,93,93,0.6,7872658,73.2
2007,16,5,3.16,93,0,44.3,6,94,94,0.7,777972,73
2006,161,5,3.23,94,0,43.5,6,94,95,0.8,754146,72.8
2005,163,5,3.23,97,0,42.8,6,98,98,0.9,737343,72.5
2004,165,5,3.02,93,0,42,7,94,94,1.2,724153,72.2
2003,166,6,3.04,91,0,41.2,7,92,92,1.4,733821,71.9
2002,169,6,3.09,94,0,4.4,7,95,95,1.5,6863157,71.6
2001,171,6,2.74,95,0,39.6,8,99,96,1.6,669361,71.3
2000,174,6,2.61,93,0,38.8,8,88,94,1.7,6524283,71
2015,134,0,,,0,64.8,0,99,99,0.1,984328,75.8
2014,137,0,0.01,,0,64.2,0,99,99,0.1,9866468,75.6
2013,139,0,10.88,,1,63.6,1,99,99,0.1,989382,75.5
2012,146,0,11.27,,2,63,1,99,99,0.1,992362,75
2011,15,0,11.51,,5,62.4,1,99,99,0.1,9971727,74.8
2010,156,0,10.78,,0,61.7,1,99,99,0.1,123,74.5
2009,162,0,11.46,,1,61.1,1,99,99,0.1,12265,74.2
2008,165,1,11.64,,0,6.5,1,99,99,0.1,138188,74.1
2007,176,1,12.55,,0,59.9,1,99,99,0.1,15578,73.5
2006,177,1,13.16,,1,59.3,1,99,99,0.1,17137,73.4
2005,182,1,12.94,,2,58.8,1,99,99,0.1,18765,72.9
2004,18,1,13.28,,0,58.2,1,99,99,0.1,117146,72.9
2003,184,1,13.24,,0,57.6,1,99,99,0.1,1129552,72.5
2002,184,1,13.29,,0,57.1,1,98,99,0.1,115868,72.5
2001,185,1,13.18,,20,56.6,1,99,99,0.1,1187576,72.3
2000,193,1,12.22,,1,56.1,1,99,99,0.1,121971,71.7
2015,49,0,,,0,61,0,92,92,0.1,33815,82.7
2014,49,0,7.45,,0,6.6,0,9,9,0.1,327386,82.5
2013,5,0,7.31,,0,6.2,0,91,91,0.1,323764,82.4
2012,5,0,7.81,,0,59.7,0,89,89,0.1,32716,82.5
2011,51,0,8.13,,0,59.3,0,95,95,0.1,31914,82.1
2010,53,0,8.25,,0,58.9,0,96,96,0.1,31841,81.8
2009,55,0,10.22,,0,58.5,0,96,96,0.1,318499,81.6
2008,58,0,8.49,,0,58.1,0,98,98,0.1,317414,81.4
2007,59,0,7.53,,0,57.8,0,97,97,0.1,311566,81.3
2006,61,0,7.2,,0,57.4,0,97,97,0.1,33782,81.1
2005,62,0,7.05,,0,56.9,0,95,95,0.1,296734,81
2004,65,0,6.79,,0,56.5,0,99,99,0.1,29274,88
2003,65,0,6.61,,0,55.9,0,97,97,0.1,289521,87
2002,7,0,6.61,,0,55.4,0,95,95,0.1,287523,84
2001,72,0,6.37,,0,54.8,0,92,92,0.1,284968,80
2000,74,0,6.17,,0,54.2,0,98,98,0.1,28125,79.7
2015,181,910,,87,90387,18.7,1100,86,87,0.2,1395398,68.3
2014,184,957,3.07,79,79563,18.1,1200,84,85,0.2,1293859294,68
